BeetleName,SpanAngle,SpecLocB
anom,20,608
anom,30,605
anom,40,598
anom,50,591
anom,60,582
atki,20,550
atki,30,545
atki,40,539
atki,50,533
atki,60,525
aurs,20,517
aurs,30,514
aurs,40,509
aurs,50,503
aurs,60,497
boid,20,598
boid,30,593
boid,40,587
boid,50,579
boid,60,570
brun,20,625
brun,30,621
brun,40,629
brun,50,651
brun,60,676
clor,20,554
clor,30,550
clor,40,544
clor,50,537
clor,60,528
conc,20,572
conc,30,572
conc,40,575
conc,50,576
conc,60,571
ecry,20,543
ecry,30,539
ecry,40,534
ecry,50,528
ecry,60,519
fchi,20,612
fchi,30,607
fchi,40,601
fchi,50,593
fchi,60,585
gray,20,564
gray,30,561
gray,40,555
gray,50,545
gray,60,534
lats,20,664
lats,30,666
lats,40,671
lats,50,678
lats,60,679
macl,20,441
macl,30,438
macl,40,435
macl,50,430
macl,60,424
neus,20,534
neus,30,531
neus,40,526
neus,50,520
neus,60,514
opal,20,516
opal,30,529
opal,40,528
opal,50,525
opal,60,517
pali,20,581
pali,30,581
pali,40,583
pali,50,579
pali,60,579
pind,20,552
pind,30,547
pind,40,542
pind,50,534
pind,60,526
pora,20,587
pora,30,582
pora,40,576
pora,50,568
pora,60,559
porb,20,612
porb,30,608
porb,40,602
porb,50,593
porb,60,584
prsi,20,514
prsi,30,515
prsi,40,515
prsi,50,515
prsi,60,515
psch,20,519
psch,30,519
psch,40,520
psch,50,520
psch,60,521
punc,20,551
punc,30,546
punc,40,540
punc,50,533
punc,60,524
pvul,20,491
pvul,30,488
pvul,40,484
pvul,50,478
pvul,60,473
rayn,20,560
rayn,30,566
rayn,40,564
rayn,50,558
rayn,60,545
repb,20,541
repb,30,537
repb,40,531
repb,50,524
repb,60,516
reps,20,437
reps,30,434
reps,40,432
reps,50,426
reps,60,421
rina,20,472
rina,30,468
rina,40,465
rina,50,461
rina,60,457
roci,20,536
roci,30,534
roci,40,531
roci,50,527
roci,60,523
rose,20,577
rose,30,583
rose,40,583
rose,50,586
rose,60,580
rugo,20,613
rugo,30,604
rugo,40,604
rugo,50,599
rugo,60,595
smgg,20,540
smgg,30,538
smgg,40,533
smgg,50,525
smgg,60,518
smgp,20,455
smgp,30,452
smgp,40,448
smgp,50,443
smgp,60,443
smgr,20,624
smgr,30,618
smgr,40,612
smgr,50,605
smgr,60,594
tars,20,554
tars,30,552
tars,40,544
tars,50,537
tars,60,532
vrid,20,534
vrid,30,529
vrid,40,523
vrid,50,517
vrid,60,508
xyln,20,504
xyln,30,504
xyln,40,504
xyln,50,505
xyln,60,507
